[26-09-2024 01:52:19] info: 	z2m: Logging to console, file (filename: log.log)
[26-09-2024 01:52:19] info: 	z2m: Starting Zigbee2MQTT version 1.40.1 (commit #unknown)
[26-09-2024 01:52:19] info: 	z2m: Starting zigbee-herdsman (0.57.3)
[26-09-2024 01:52:19] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[26-09-2024 01:52:19] info: 	zh:zstack:znp: Serialport opened
[26-09-2024 01:52:23] info: 	z2m: zigbee-herdsman started (resumed)
[26-09-2024 01:52:23] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20221226,"transportrev":2},"type":"zStack3x0"}'
[26-09-2024 01:52:23] info: 	z2m: bedroom (0x00124b00234304db): SNZB-04 - SONOFF Contact sensor (EndDevice)
[26-09-2024 01:52:23] info: 	z2m: Currently 1 devices are joined.
[26-09-2024 01:52:23] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[26-09-2024 01:52:23] warning: 	z2m: Allowing new devices to join.
[26-09-2024 01:52:23] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[26-09-2024 01:52:23] info: 	z2m: Zigbee: allowing new devices to join.
[26-09-2024 01:52:23] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
[26-09-2024 01:52:23] info: 	z2m: Connected to MQTT server
[26-09-2024 01:52:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[26-09-2024 01:52:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom/availability', payload '{"state":"online"}'
[26-09-2024 01:52:23] info: 	z2m: Started frontend on port 8099
[26-09-2024 01:52:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[26-09-2024 01:52:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":100,"battery_low":false,"contact":true,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-26T01:10:20+03:00","linkquality":149,"tamper":false,"voltage":3100}'
[26-09-2024 01:52:23] info: 	z2m: Zigbee2MQTT started!
[26-09-2024 01:52:28] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/1221051039810110150109113116116_0x00124b0024bc4724/connection_state/config', payload '{"device":{"hw_version":"zStack3x0 20221226","identifiers":["zigbee2mqtt_bridge_0x00124b0024bc4724"],"manufacturer":"Zigbee2MQTT","model":"Bridge","name":"Zigbee2MQTT Bridge","sw_version":"1.40.1"},"device_class":"connectivity","entity_category":"diagnostic","name":"Connection state","object_id":"zigbee2mqtt_bridge_connection_state","origin":{"name":"Zigbee2MQTT","sw":"1.40.1","url":"https://www.zigbee2mqtt.io"},"payload_off":"offline","payload_on":"online","state_topic":"zigbee2mqtt/bridge/state","unique_id":"bridge_0x00124b0024bc4724_connection_state_zigbee2mqtt","value_template":"{{ value_json.state }}"}'
[26-09-2024 02:22:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":100,"battery_low":false,"contact":true,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-26T02:22:10+03:00","linkquality":138,"tamper":false,"voltage":3000}'
[26-09-2024 02:22:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":100,"battery_low":false,"contact":true,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-26T02:22:10+03:00","linkquality":138,"tamper":false,"voltage":3000}'
[26-09-2024 02:33:09] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":100,"battery_low":false,"contact":false,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-26T02:33:09+03:00","linkquality":131,"tamper":false,"voltage":3000}'
