[23-09-2024 08:07:14] info: 	z2m: Logging to console, file (filename: log.log)
[23-09-2024 08:07:14] info: 	z2m: Starting Zigbee2MQTT version 1.40.1 (commit #unknown)
[23-09-2024 08:07:14] info: 	z2m: Starting zigbee-herdsman (0.57.3)
[23-09-2024 08:07:15] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB0","baudRate":115200,"rtscts":false,"autoOpen":false}
[23-09-2024 08:07:15] info: 	zh:zstack:znp: Serialport opened
[23-09-2024 08:07:19] info: 	z2m: zigbee-herdsman started (resumed)
[23-09-2024 08:07:19] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20221226,"transportrev":2},"type":"zStack3x0"}'
[23-09-2024 08:07:19] info: 	z2m: bedroom (0x00124b00234304db): SNZB-04 - SONOFF Contact sensor (EndDevice)
[23-09-2024 08:07:19] info: 	z2m: Currently 1 devices are joined.
[23-09-2024 08:07:19] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[23-09-2024 08:07:19] warning: 	z2m: Allowing new devices to join.
[23-09-2024 08:07:19] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[23-09-2024 08:07:19] info: 	z2m: Zigbee: allowing new devices to join.
[23-09-2024 08:07:19] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
[23-09-2024 08:07:19] info: 	z2m: Connected to MQTT server
[23-09-2024 08:07:19] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[23-09-2024 08:07:19] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom/availability', payload '{"state":"online"}'
[23-09-2024 08:07:19] info: 	z2m: Started frontend on port 8099
[23-09-2024 08:07:19] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[23-09-2024 08:07:19] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":79.5,"battery_low":false,"contact":true,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T07:15:02+03:00","linkquality":163,"tamper":false,"voltage":2900}'
[23-09-2024 08:07:19] info: 	z2m: Zigbee2MQTT started!
[23-09-2024 08:07:24] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/1221051039810110150109113116116_0x00124b0024bc4724/connection_state/config', payload '{"device":{"hw_version":"zStack3x0 20221226","identifiers":["zigbee2mqtt_bridge_0x00124b0024bc4724"],"manufacturer":"Zigbee2MQTT","model":"Bridge","name":"Zigbee2MQTT Bridge","sw_version":"1.40.1"},"device_class":"connectivity","entity_category":"diagnostic","name":"Connection state","object_id":"zigbee2mqtt_bridge_connection_state","origin":{"name":"Zigbee2MQTT","sw":"1.40.1","url":"https://www.zigbee2mqtt.io"},"payload_off":"offline","payload_on":"online","state_topic":"zigbee2mqtt/bridge/state","unique_id":"bridge_0x00124b0024bc4724_connection_state_zigbee2mqtt","value_template":"{{ value_json.state }}"}'
[23-09-2024 08:10:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":79.5,"battery_low":false,"contact":false,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T08:10:32+03:00","linkquality":149,"tamper":false,"voltage":2900}'
[23-09-2024 08:14:02] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":79.5,"battery_low":false,"contact":true,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T08:14:02+03:00","linkquality":160,"tamper":false,"voltage":2900}'
[23-09-2024 08:21:13] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":79.5,"battery_low":false,"contact":true,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T08:21:13+03:00","linkquality":163,"tamper":false,"voltage":2900}'
[23-09-2024 08:21:13] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":82.5,"battery_low":false,"contact":true,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T08:21:13+03:00","linkquality":163,"tamper":false,"voltage":2900}'
[23-09-2024 08:30:53] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":82.5,"battery_low":false,"contact":false,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T08:30:53+03:00","linkquality":76,"tamper":false,"voltage":2900}'
[23-09-2024 08:31:06] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":82.5,"battery_low":false,"contact":true,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T08:31:06+03:00","linkquality":145,"tamper":false,"voltage":2900}'
[23-09-2024 08:34:58] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":82.5,"battery_low":false,"contact":false,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T08:34:58+03:00","linkquality":127,"tamper":false,"voltage":2900}'
[23-09-2024 08:35:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":82.5,"battery_low":false,"contact":true,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T08:35:03+03:00","linkquality":156,"tamper":false,"voltage":2900}'
[23-09-2024 09:05:08] info: 	z2m: Zigbee: disabling joining new devices.
[23-09-2024 09:05:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/permit_join', payload '{"data":{"value":false},"status":"ok"}'
[23-09-2024 09:41:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":82.5,"battery_low":false,"contact":true,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T09:41:49+03:00","linkquality":160,"tamper":false,"voltage":2900}'
[23-09-2024 09:41:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":83,"battery_low":false,"contact":true,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T09:41:49+03:00","linkquality":160,"tamper":false,"voltage":2900}'
[23-09-2024 09:47:50] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":83,"battery_low":false,"contact":false,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T09:47:50+03:00","linkquality":156,"tamper":false,"voltage":2900}'
[23-09-2024 09:49:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":83,"battery_low":false,"contact":true,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T09:49:49+03:00","linkquality":160,"tamper":false,"voltage":2900}'
[23-09-2024 09:59:59] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bedroom', payload '{"battery":83,"battery_low":false,"contact":false,"device":{"applicationVersion":4,"dateCode":"20201026","friendlyName":"bedroom","hardwareVersion":1,"ieeeAddr":"0x00124b00234304db","manufacturerID":0,"manufacturerName":"eWeLink","model":"SNZB-04","networkAddress":1662,"powerSource":"Battery","type":"EndDevice","zclVersion":1},"last_seen":"2024-09-23T09:59:59+03:00","linkquality":142,"tamper":false,"voltage":2900}'
[23-09-2024 10:17:43] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"offline"}'
[23-09-2024 10:17:43] info: 	z2m: Disconnecting from MQTT server
[23-09-2024 10:17:43] info: 	z2m: Stopping zigbee-herdsman...
